candidate_name_en,candidate_name_ar,candidate_list_en,candidate_list_ar,seat,num_votes,num_votes_list,district,election_year,elected
fuad_makhzoumi,فؤاد مصطفى مخزومي,beirut_badha_qalb,بيروت بدها قلب,sunni,10021,19421,beirut_2,2022,TRUE
hasan_kashli,حسن عفيف كشلي,beirut_badha_qalb,بيروت بدها قلب,sunni,885,19421,beirut_2,2022,FALSE
karim_shabaqlo,كريم فؤاد شبقلو,beirut_badha_qalb,بيروت بدها قلب,sunni,470,19421,beirut_2,2022,FALSE
abdellatif_itani,عبد اللطيف رياض عيتاني,beirut_badha_qalb,بيروت بدها قلب,sunni,1531,19421,beirut_2,2022,FALSE
mazen_shbarro,مازن فايز شبارو,beirut_badha_qalb,بيروت بدها قلب,sunni,766,19421,beirut_2,2022,FALSE
nabil_naja,نبيل احمد بسام نجا,beirut_badha_qalb,بيروت بدها قلب,sunni,526,19421,beirut_2,2022,FALSE
ulfat_alsabi,الفت حمزه السبع,beirut_badha_qalb,بيروت بدها قلب,shia,181,19421,beirut_2,2022,FALSE
lina_hamdan,لينا محمد علي حمدان,beirut_badha_qalb,بيروت بدها قلب,shia,227,19421,beirut_2,2022,FALSE
zeina_munther,زينه كمال منذر,beirut_badha_qalb,بيروت بدها قلب,druze,308,19421,beirut_2,2022,FALSE
zeina_majdalani,زينه نبيه مجدالني,beirut_badha_qalb,بيروت بدها قلب,greek_orthodox,1462,19421,beirut_2,2022,FALSE
omar_aldabghi,عمر منح الدبغي,beirut_badha_qalb,بيروت بدها قلب,anglican,1403,19421,beirut_2,2022,FALSE
wissam_fakhr,فخر ابو رمزي وسام,haydi_beirut,هيدي بيروت,druze,92,20439,beirut_2,2022,FALSE
nabil_itani,عيتاني الحفيظ عبد نبيل,haydi_beirut,هيدي بيروت,sunni,544,20439,beirut_2,2022,FALSE
huda_assi,عاصي الفقار زو هدا,haydi_beirut,هيدي بيروت,shia,115,20439,beirut_2,2022,FALSE
marwan_salam,سالم رفيق مروان,haydi_beirut,هيدي بيروت,sunni,680,20439,beirut_2,2022,FALSE
haidar_bazzi,بزي حسن حيدر,haydi_beirut,هيدي بيروت,shia,422,20439,beirut_2,2022,FALSE
harutioun_kozian,كوزيان كوك صموئيل هاروتيون,haydi_beirut,هيدي بيروت,anglican,206,20439,beirut_2,2022,FALSE
khalil_broumana,برمانه اميل خليل,haydi_beirut,هيدي بيروت,greek_orthodox,636,20439,beirut_2,2022,FALSE
yusra_altannir,يسرى الحفيظ عبدالتنير,haydi_beirut,هيدي بيروت,sunni,600,20439,beirut_2,2022,FALSE
mahmoud_aljamal,محمود الدين محي الجمل,haydi_beirut,هيدي بيروت,sunni,3502,20439,beirut_2,2022,FALSE
emad_alhout,عماد مدحت الحوت,haydi_beirut,هيدي بيروت,sunni,7362,20439,beirut_2,2022,TRUE
nabil_badr,نبيل محمد عثمان بدر,haydi_beirut,هيدي بيروت,sunni,5631,20439,beirut_2,2022,TRUE
fuad_haddad,حداد فؤاد جورج,beirut_tuwajeh,بيروت تواجه,anglican,453,18060,beirut_2,2022,FALSE
michel_fallah,فالح ديب ميشال,beirut_tuwajeh,بيروت تواجه,greek_orthodox,2950,18060,beirut_2,2022,FALSE
faisal_alsayegh,فيصل عفيف الصايغ,beirut_tuwajeh,بيروت تواجه,druze,2565,18060,beirut_2,2022,TRUE
ahmad_ayash,احمد ابراهيم عياش,beirut_tuwajeh,بيروت تواجه,shia,241,18060,beirut_2,2022,FALSE
abdelrahman_almubasher,عبد الرحمن يحي المبشر,beirut_tuwajeh,بيروت تواجه,sunni,1355,18060,beirut_2,2022,FALSE
lina_altannir,لينا عمر التنير,beirut_tuwajeh,بيروت تواجه,sunni,2273,18060,beirut_2,2022,FALSE
zeina_almasri,المصري ابراهيم زينه,beirut_tuwajeh,بيروت تواجه,sunni,1500,18060,beirut_2,2022,FALSE
majed_dimashkieh,دمشقيه موفق ماجد,beirut_tuwajeh,بيروت تواجه,sunni,977,18060,beirut_2,2022,FALSE
bashir_itani,بشيرمحمود عيتاني,beirut_tuwajeh,بيروت تواجه,sunni,1692,18060,beirut_2,2022,FALSE
khaled_qabbani,خالد الدين محي قباني,beirut_tuwajeh,بيروت تواجه,sunni,3433,18060,beirut_2,2022,FALSE
