qalam_index,candidate,votes,election_year
1,maha_alrassi,0,2022
1,nahida_khalil,0,2022
1,rima_abuchakra,0,2022
1,paola_rebeiz,0,2022
1,sara_yasin,0,2022
1,faisal_altamrawi,0,2022
1,yasin_fawaz,0,2022
1,ayman_ali,0,2022
1,naim_alayash,0,2022
1,samer_ghazi,0,2022
1,ali_fasai,0,2022
1,maya_shatila,0,2022
1,wiam_dallal,0,2022
1,hadi_alhusni,0,2022
1,alexei_alhaddad,0,2022
1,shiran_ali,0,2022
1,nasir_mohamed,0,2022
1,omar_sabra,1,2022
1,adel_aldeek,0,2022
1,adel_alhalabi,0,2022
1,muwaffak_alwatar,0,2022
1,mohamed_itani,1,2022
1,mahmoud_merhi,0,2022
1,dalal_alrahbani,0,2022
1,mohamed_shihab,0,2022
1,najib_saba,0,2022
1,ahmed_khalid,0,2022
1,melhem_khalaf,7,2022
1,nuhad_yazbek,8,2022
1,hani_alhamdiye,0,2022
1,mahmoud_fakih,3,2022
1,ali_abbas,1,2022
1,rushdi_qabbani,0,2022
1,waddah_alsadek,10,2022
1,samah_halwani,1,2022
1,fatima_meshref,0,2022
1,ibrahim_mnaimneh,31,2022
1,iman_tabbara,3,2022
1,marie_aljalakh,0,2022
1,iyad_albanna,0,2022
1,jihad_hamoud,0,2022
1,mohamed_alarab,0,2022
1,walid_itani,0,2022
1,khalid_hanqeer,0,2022
1,mohamed_ardaroumli,0,2022
1,ahmad_dabbagh,15,2022
1,adnan_traboulsi,3,2022
1,edgard_traboulsi,0,2022
1,nasib_aljawhari,0,2022
1,malouf_ramzi,0,2022
1,mohamed_khawaja,3,2022
1,amin_sherri,4,2022
1,almutasim_adham,0,2022
1,abd_mutarji,2,2022
1,maha_shati,0,2022
1,fuad_haddad,1,2022
1,michel_fallah,4,2022
1,faisal_alsayegh,3,2022
1,ahmad_ayash,0,2022
1,abdelrahman_almubasher,1,2022
1,lina_altannir,5,2022
1,zeina_almasri,4,2022
1,majed_dimashkieh,5,2022
1,bashir_itani,4,2022
1,khaled_qabbani,9,2022
1,wissam_fakhr,0,2022
1,nabil_itani,1,2022
1,huda_assi,0,2022
1,marwan_salam,7,2022
1,haidar_bazzi,0,2022
1,harutioun_kozian,1,2022
1,khalil_broumana,1,2022
1,yusra_altannir,6,2022
1,mahmoud_aljamal,10,2022
1,emad_alhout,22,2022
1,nabil_badr,25,2022
1,omar_aldabghi,4,2022
1,zeina_majdalani,1,2022
1,zeina_munther,0,2022
1,lina_hamdan,0,2022
1,ulfat_alsabi,0,2022
1,nabil_naja,4,2022
1,mazen_shbarro,2,2022
1,abdellatif_itani,1,2022
1,karim_shabaqlo,0,2022
1,hasan_kashli,4,2022
1,fuad_makhzoumi,25,2022
2,maha_alrassi,0,2022
2,nahida_khalil,0,2022
2,rima_abuchakra,0,2022
2,paola_rebeiz,0,2022
2,sara_yasin,0,2022
2,faisal_altamrawi,0,2022
2,yasin_fawaz,0,2022
2,ayman_ali,1,2022
2,naim_alayash,0,2022
2,samer_ghazi,0,2022
2,ali_fasai,0,2022
2,maya_shatila,0,2022
2,wiam_dallal,0,2022
2,hadi_alhusni,0,2022
2,alexei_alhaddad,0,2022
2,shiran_ali,0,2022
2,nasir_mohamed,0,2022
2,omar_sabra,0,2022
2,adel_aldeek,0,2022
2,adel_alhalabi,0,2022
2,muwaffak_alwatar,0,2022
2,mohamed_itani,0,2022
2,mahmoud_merhi,0,2022
2,dalal_alrahbani,0,2022
2,mohamed_shihab,1,2022
2,najib_saba,1,2022
2,ahmed_khalid,0,2022
2,melhem_khalaf,4,2022
2,nuhad_yazbek,0,2022
2,hani_alhamdiye,0,2022
2,mahmoud_fakih,8,2022
2,ali_abbas,2,2022
2,rushdi_qabbani,0,2022
2,waddah_alsadek,4,2022
2,samah_halwani,1,2022
2,fatima_meshref,0,2022
2,ibrahim_mnaimneh,20,2022
2,iman_tabbara,0,2022
2,marie_aljalakh,0,2022
2,iyad_albanna,0,2022
2,jihad_hamoud,0,2022
2,mohamed_alarab,0,2022
2,walid_itani,0,2022
2,khalid_hanqeer,2,2022
2,mohamed_ardaroumli,0,2022
2,ahmad_dabbagh,79,2022
2,adnan_traboulsi,15,2022
2,edgard_traboulsi,0,2022
2,nasib_aljawhari,0,2022
2,malouf_ramzi,3,2022
2,mohamed_khawaja,9,2022
2,amin_sherri,19,2022
2,almutasim_adham,0,2022
2,abd_mutarji,4,2022
2,maha_shati,2,2022
2,fuad_haddad,0,2022
2,michel_fallah,6,2022
2,faisal_alsayegh,12,2022
2,ahmad_ayash,1,2022
2,abdelrahman_almubasher,4,2022
2,lina_altannir,0,2022
2,zeina_almasri,3,2022
2,majed_dimashkieh,0,2022
2,bashir_itani,5,2022
2,khaled_qabbani,13,2022
2,wissam_fakhr,0,2022
2,nabil_itani,0,2022
2,huda_assi,0,2022
2,marwan_salam,0,2022
2,haidar_bazzi,0,2022
2,harutioun_kozian,0,2022
2,khalil_broumana,0,2022
2,yusra_altannir,0,2022
2,mahmoud_aljamal,9,2022
2,emad_alhout,17,2022
2,nabil_badr,11,2022
2,omar_aldabghi,0,2022
2,zeina_majdalani,0,2022
2,zeina_munther,0,2022
2,lina_hamdan,0,2022
2,ulfat_alsabi,0,2022
2,nabil_naja,0,2022
2,mazen_shbarro,0,2022
2,abdellatif_itani,0,2022
2,karim_shabaqlo,0,2022
2,hasan_kashli,3,2022
2,fuad_makhzoumi,25,2022
3,maha_alrassi,0,2022
3,nahida_khalil,0,2022
3,rima_abuchakra,0,2022
3,paola_rebeiz,0,2022
3,sara_yasin,0,2022
3,faisal_altamrawi,0,2022
3,yasin_fawaz,0,2022
3,ayman_ali,0,2022
3,naim_alayash,0,2022
3,samer_ghazi,0,2022
3,ali_fasai,0,2022
3,maya_shatila,1,2022
3,wiam_dallal,0,2022
3,hadi_alhusni,0,2022
3,alexei_alhaddad,0,2022
3,shiran_ali,0,2022
3,nasir_mohamed,1,2022
3,omar_sabra,1,2022
3,adel_aldeek,1,2022
3,adel_alhalabi,0,2022
3,muwaffak_alwatar,0,2022
3,mohamed_itani,0,2022
3,mahmoud_merhi,0,2022
3,dalal_alrahbani,1,2022
3,mohamed_shihab,5,2022
3,najib_saba,0,2022
3,ahmed_khalid,0,2022
3,melhem_khalaf,13,2022
3,nuhad_yazbek,1,2022
3,hani_alhamdiye,0,2022
3,mahmoud_fakih,0,2022
3,ali_abbas,0,2022
3,rushdi_qabbani,0,2022
3,waddah_alsadek,5,2022
3,samah_halwani,0,2022
3,fatima_meshref,0,2022
3,ibrahim_mnaimneh,14,2022
3,iman_tabbara,6,2022
3,marie_aljalakh,0,2022
3,iyad_albanna,0,2022
3,jihad_hamoud,0,2022
3,mohamed_alarab,0,2022
3,walid_itani,0,2022
3,khalid_hanqeer,1,2022
3,mohamed_ardaroumli,0,2022
3,ahmad_dabbagh,19,2022
3,adnan_traboulsi,2,2022
3,edgard_traboulsi,0,2022
3,nasib_aljawhari,0,2022
3,malouf_ramzi,2,2022
3,mohamed_khawaja,2,2022
3,amin_sherri,13,2022
3,almutasim_adham,0,2022
3,abd_mutarji,0,2022
3,maha_shati,0,2022
3,fuad_haddad,0,2022
3,michel_fallah,0,2022
3,faisal_alsayegh,5,2022
3,ahmad_ayash,0,2022
3,abdelrahman_almubasher,2,2022
3,lina_altannir,4,2022
3,zeina_almasri,8,2022
3,majed_dimashkieh,0,2022
3,bashir_itani,3,2022
3,khaled_qabbani,6,2022
3,wissam_fakhr,0,2022
3,nabil_itani,1,2022
3,huda_assi,0,2022
3,marwan_salam,1,2022
3,haidar_bazzi,1,2022
3,harutioun_kozian,0,2022
3,khalil_broumana,0,2022
3,yusra_altannir,2,2022
3,mahmoud_aljamal,6,2022
3,emad_alhout,11,2022
3,nabil_badr,11,2022
3,omar_aldabghi,2,2022
3,zeina_majdalani,0,2022
3,zeina_munther,0,2022
3,lina_hamdan,0,2022
3,ulfat_alsabi,3,2022
3,nabil_naja,5,2022
3,mazen_shbarro,1,2022
3,abdellatif_itani,0,2022
3,karim_shabaqlo,3,2022
3,hasan_kashli,2,2022
3,fuad_makhzoumi,16,2022
